Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Work (feat. Drake),Rihanna,1.0,70808031,,https://www.youtube.com/watch?v=HL1UzIK-flA
2,,Sorry,Justin Bieber,1.0,67703047,,https://www.youtube.com/watch?v=fRh_vgS2dFE
3,,Hello,Adele,1.0,41363797,,https://www.youtube.com/watch?v=YQHsXMglC9A
4,,Love Yourself,Justin Bieber,1.0,39841350,,https://www.youtube.com/watch?v=oyEuk8j8imI
5,,What Do You Mean?,Justin Bieber,1.0,34688363,,https://www.youtube.com/watch?v=DK_0jXPuIr0
6,,PILLOWTALK,ZAYN,1.0,33461955,,https://www.youtube.com/watch?v=C_3d6GntKbk
7,,See You Again (feat. Charlie Puth),Wiz Khalifa,1.0,31970676,,https://www.youtube.com/watch?v=RgKAFK5djSk
8,,Lean On (feat. MØ & DJ Snake),Major Lazer,1.0,29691578,,https://www.youtube.com/watch?v=YqeW9_5kURI
9,,Uptown Funk (feat. Bruno Mars),Mark Ronson,1.0,28263314,,https://www.youtube.com/watch?v=OPf0YbXqDm0
10,,Hasta el Amanecer,Nicky Jam,1.0,27296560,,https://www.youtube.com/watch?v=kkx-7fsiWgg
11,,Hotline Bling,Drake,1.0,26268262,,https://www.youtube.com/watch?v=uxpDa-c-4Mc
12,,GANGNAM STYLE (강남스타일),PSY,1.0,23776215,,https://www.youtube.com/watch?v=9bZkp7q19f0
13,,Watch Me (Whip / Nae Nae),Silentó,1.0,22349368,,https://www.youtube.com/watch?v=vjW8wmF5VWc
14,,Worth It (feat. Kid Ink),Fifth Harmony,1.0,22168840,,https://www.youtube.com/watch?v=YBHQbu5rbdQ
15,,Stitches,Shawn Mendes,1.0,20975946,,https://www.youtube.com/watch?v=VbfpW0pbvaU
16,,The Hills,The Weeknd,1.0,19047633,,https://www.youtube.com/watch?v=yzTuBuRdAyA
17,,Sugar,Maroon 5,1.0,18843843,,https://www.youtube.com/watch?v=09R8_2nJtjg
18,,Turn Down For What (DJ Snake & Lil Jon),DJ Snake,1.0,18797270,,https://www.youtube.com/watch?v=HMUDVMiITOU
19,,Where Are Ü Now (with Justin Bieber),Jack Ü,1.0,18461099,,https://www.youtube.com/watch?v=nntGTK2Fhb0
20,,Cheerleader (Felix Jaehn Remix),OMI,1.0,18108096,,https://www.youtube.com/watch?v=jGflUbPQfW8
21,,Stressed Out,Twenty One Pilots,1.0,17538156,,https://www.youtube.com/watch?v=pXRviuL6vMY
22,,Borro Cassette,Maluma,1.0,17012524,,https://www.youtube.com/watch?v=Xk0wdDTTPA0
23,,Can't Feel My Face,The Weeknd,1.0,16894012,,https://www.youtube.com/watch?v=KEI4qSrkPAs
24,,Paredão Metralhadora,Banda Vingadora,1.0,16012560,,https://www.youtube.com/watch?v=YzCoZGsod0c
25,,Love Me Like You Do,Ellie Goulding,1.0,15873836,,https://www.youtube.com/watch?v=AJtDXIazrMo
26,,Chandelier,Sia,1.0,15657249,,https://www.youtube.com/watch?v=2vjPBrBU-TM
27,,Bad Blood (Remix) (feat. Kendrick Lamar),Taylor Swift,1.0,14991996,,https://www.youtube.com/watch?v=QcIy9NiNbmo
28,,One Call Away,Charlie Puth,1.0,14621797,,https://www.youtube.com/watch?v=BxuY9FET9Y4
29,,Thinking Out Loud,Ed Sheeran,1.0,14496397,,https://www.youtube.com/watch?v=lp-EO5I60KA
30,,Adventure Of A Lifetime,Coldplay,1.0,14356392,,https://www.youtube.com/watch?v=QtXby3twMmI
31,,7 Years,Lukas Graham,1.0,14156448,,https://www.youtube.com/watch?v=LHCob76kigA
32,,History,One Direction,1.0,13943870,,https://www.youtube.com/watch?v=yjmp8CoZBIo
33,,Shake It Off,Taylor Swift,1.0,13818909,,https://www.youtube.com/watch?v=nfWlot6h_JM
34,,Focus,Ariana Grande,1.0,13434087,,https://www.youtube.com/watch?v=lf_wVfwpfp8
35,,Hymn for the Weekend (feat. Beyoncé),Coldplay,1.0,13325020,,https://www.youtube.com/watch?v=YykjpeuMNEk
36,,The Pink Panther Theme,Henry Mancini,1.0,13244026,,https://www.youtube.com/watch?v=dtnNO5_Ao6U
37,,Ginza,J Balvin,1.0,12954534,,https://www.youtube.com/watch?v=zZjSX01P5dE
38,,Picky,Joey Montana,1.0,12938454,,https://www.youtube.com/watch?v=RqpKDkVzlqU
39,,Blank Space,Taylor Swift,1.0,12549281,,https://www.youtube.com/watch?v=e-ORhEE9VVg
40,,"Me, Myself & I",G-Eazy & Bebe Rexha,1.0,12111604,,https://www.youtube.com/watch?v=bSfpSOBD30U
41,,Locked Away (feat. Adam Levine),R. City,1.0,12107532,,https://www.youtube.com/watch?v=6GUm5g8SG4o
42,,A Thousand Years,Christina Perri,1.0,11996490,,https://www.youtube.com/watch?v=rtOvBOTyX00
43,,I'm an Albatraoz,AronChupa,1.0,11965484,,https://www.youtube.com/watch?v=Bznxx12Ptl0
44,,All Of Me,John Legend,1.0,11897566,,https://www.youtube.com/watch?v=450p7goxZqg
45,,Te Busco (feat. Nicky Jam),Cosculluela,1.0,11728083,,https://www.youtube.com/watch?v=Gd_tCTtJhSE
46,,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,1.0,11436791,,https://www.youtube.com/watch?v=uO59tfQ2TbA
47,,Let Her Go,Passenger,1.0,11259925,,https://www.youtube.com/watch?v=RBumgq5yVrA
48,,All About That Bass,Meghan Trainor,1.0,10815050,,https://www.youtube.com/watch?v=7PCkvCPvDXk
49,,How Deep Is Your Love (Calvin Harris & Disciples),Calvin Harris,1.0,10775133,,https://www.youtube.com/watch?v=EgqUJOudrcM
50,,Roar,Katy Perry,1.0,10737491,,https://www.youtube.com/watch?v=CevxZvSJLk8
51,,Drag Me Down,One Direction,1.0,10726524,,https://www.youtube.com/watch?v=Jwgf3wmiA04
52,,Animals,Martin Garrix,1.0,10577670,,https://www.youtube.com/watch?v=gCYcHz2k5x0
53,,Por Fin Te Encontré (feat. Juan Magán & Sebastián Yatra),Cali y El Dandee,1.0,10511874,,https://www.youtube.com/watch?v=_kxz7WX4mLU
54,,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,1.0,10345007,,https://www.youtube.com/watch?v=2-MBfn8XjIU
55,,Sunset (feat. Shaggy & Nicky Jam),Farruko,1.0,10328087,,https://www.youtube.com/watch?v=ZBMsSPR9QMg
56,,El Perdón,Nicky Jam,1.0,10034398,,https://www.youtube.com/watch?v=hXI8RQYC36Q
57,,Faded,Alan Walker,1.0,9988551,,https://www.youtube.com/watch?v=60ItHLz5WEA
58,,Bang,Anitta,1.0,9887777,,https://www.youtube.com/watch?v=UGov-KH7hkM
59,,Trap Queen,Fetty Wap,1.0,9883622,,https://www.youtube.com/watch?v=i_kF4zLNKio
60,,Roses (feat. ROZES),The Chainsmokers,1.0,9777389,,https://www.youtube.com/watch?v=FyASdjZE0R0
61,,คนไม่จำเป็น,Getsunova,1.0,9652582,,https://www.youtube.com/watch?v=fmAEiuuoc_0
62,,Same Old Love,Selena Gomez,1.0,9628155,,https://www.youtube.com/watch?v=9h30Bx4Klxg
63,,Counting Stars,OneRepublic,1.0,9600113,,https://www.youtube.com/watch?v=hT_nvWreIhg
64,,Photograph,Ed Sheeran,1.0,9510948,,https://www.youtube.com/watch?v=nSDgHBxUbVQ
65,,Get Low,Dillon Francis,1.0,9497947,,https://www.youtube.com/watch?v=12CeaxLiMgE
66,,Solo con Verte,Banda MS de Sergio Lizárraga,1.0,9492009,,https://www.youtube.com/watch?v=GOs96LMUCDA
67,,Perfect,One Direction,1.0,9401243,,https://www.youtube.com/watch?v=Ho32Oh6b4jc
68,,Light It Up (Remix) (feat. Fuse ODG & Nyla),Major Lazer,1.0,9333951,,https://www.youtube.com/watch?v=qDcFryDXQ7U
69,,Dark Horse (feat. Juicy J),Katy Perry,1.0,9323074,,https://www.youtube.com/watch?v=0KSOMA3QBU0
70,,"Bailando - Spanish Version (feat. Descemer Bueno, Gente De Zona)",Enrique Iglesias,1.0,9238956,,https://www.youtube.com/watch?v=NUsoVlDFqZg
71,,Me Voy Enamorando (Remix) (feat. Farruko),Chino & Nacho,1.0,9236088,,https://www.youtube.com/watch?v=0yr75-gxVtM
72,,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,1.0,9206325,,https://www.youtube.com/watch?v=igNVdlXhKcI
73,,Propuesta Indecente,Romeo Santos,1.0,9188416,,https://www.youtube.com/watch?v=QFs3PIZb3js
74,,Hands to Myself,Selena Gomez,1.0,8997788,,https://www.youtube.com/watch?v=FMlcn-_jpWY
75,,My House,Flo Rida,1.0,8996848,,https://www.youtube.com/watch?v=uo35R9zQsAI
76,,Bangarang (feat. Sirah),Skrillex,1.0,8918938,,https://www.youtube.com/watch?v=YJVmu6yttiw
77,,Rolling In The Deep,Adele,1.0,8841687,,https://www.youtube.com/watch?v=rYEDA3JcQqw
78,,Ego,Willy William,1.0,8705103,,https://www.youtube.com/watch?v=iOxzG3jjFkY
79,,Rude,MAGIC!,1.0,8674316,,https://www.youtube.com/watch?v=PIh2xe4jnpk
80,,Burn,Ellie Goulding,1.0,8629917,,https://www.youtube.com/watch?v=CGyEd0aKWZE
81,,La Mordidita (feat. Yotuel),Ricky Martin,1.0,8564707,,https://www.youtube.com/watch?v=lBztnahrOFw
82,,Wiggle (feat. Snoop Dogg),Jason Derulo,1.0,8514762,,https://www.youtube.com/watch?v=hiP14ED28CA
83,,"Tá Tranquilo, Tá Favorável",MC Bin Laden,1.0,8481999,,https://www.youtube.com/watch?v=vkJ5Lc0WwVw
84,,Bring Me To Life,Evanescence,1.0,8429818,,https://www.youtube.com/watch?v=3YxaaGgTQYM
85,,Wake Me Up - Radio Edit,Avicii,1.0,8310477,,https://www.youtube.com/watch?v=IcrbM1l_BoI
86,,Ay Vamos,J Balvin,1.0,8295653,,https://www.youtube.com/watch?v=TapXs54Ah3E
87,,Someone Like You,Adele,1.0,8200233,,https://www.youtube.com/watch?v=hLQl3WQQoQ0
88,,แพ้ทาง,Labanoon,1.0,8170652,,https://www.youtube.com/watch?v=T_4RvW2zFww
89,,Sugar (feat. Francesco Yates),Robin Schulz,1.0,8122624,,https://www.youtube.com/watch?v=bvC_0foemLY
90,,Nota de Amor  (Wisin & Carlos Vives) (feat. Daddy Yankee),Wisin,1.0,8028994,,https://www.youtube.com/watch?v=wZRWpr1G1Qw
91,,Diamonds,Rihanna,1.0,7940170,,https://www.youtube.com/watch?v=lWA2pjMjpBs
92,,679 (feat. Remy Boyz),Fetty Wap,1.0,7927513,,https://www.youtube.com/watch?v=Pzz4Z-O7710
93,,Wildest Dreams,Taylor Swift,1.0,7883937,,https://www.youtube.com/watch?v=IdneKLhsWOQ
