Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,X (Nicky Jam & J Balvin),Nicky Jam & J Balvin,1,72999344,,https://www.youtube.com/watch?v=_I_D_8Z4sJE
2,2,God's Plan,Drake,8,69124533,-1.5%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
3,3,Dura,Daddy Yankee,9,57772337,-5.4%,https://www.youtube.com/watch?v=sGIm0-dQd8M
4,4,El Farsante (Remix),Ozuna,33,53849682,-4.3%,https://www.youtube.com/watch?v=wfWkmURBNv8
5,9,Perfect,Ed Sheeran,29,53742299,4.4%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
6,6,Havana (feat. Young Thug),Camila Cabello,25,50593728,-5.2%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
7,8,Amorfoda,Bad Bunny,6,44228934,-16.8%,https://www.youtube.com/watch?v=kLpH1nSLJSs
8,11,Échame la Culpa,Luis Fonsi & Demi Lovato,18,40279776,7.6%,https://www.youtube.com/watch?v=TyHvyGVs42U
9,5,Me Niego (feat. Ozuna & Wisin),Reik,5,39363144,-28.9%,https://www.youtube.com/watch?v=JyqD_zfXfi8
10,12,FRIENDS,Marshmello & Anne-Marie,5,38440270,10.2%,https://www.youtube.com/watch?v=jzD_yyEcp0M
11,10,Bella,Wolfine,8,36917492,-8.5%,https://www.youtube.com/watch?v=jjuSfhYiup8
12,,Introduccion B (El Cosita Mix),El Chombo,1,36162841,,https://www.youtube.com/watch?v=LE6-4nAWEY0
13,14,Corazón (feat. Nego do Borel),Maluma,20,35140371,5.3%,https://www.youtube.com/watch?v=GmHrjFIWl6U
14,,Ek Do Teen,Shreya Ghoshal,0,33989530,,https://www.youtube.com/watch?v=q2gICJFG6uw
15,16,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,22,31328487,5.1%,https://www.youtube.com/watch?v=y7d9VLRO3vc
16,,Loca (feat. Duki & Cazzu),Khea,1,30323069,,https://www.youtube.com/watch?v=XQ0D_QD_DhM
17,,A Partir De Hoy,David Bisbal & Sebastián Yatra,1,28569057,,https://www.youtube.com/watch?v=Iwz4P8HfGVM
18,7,El Préstamo,Maluma,2,28322929,-46.8%,https://www.youtube.com/watch?v=-BQJo3vK8O8
19,,Gucci Gang,Lil Pump,23,28031375,,https://www.youtube.com/watch?v=4LfJnj66HVQ
20,18,Siguelo Bailando,Ozuna,19,27001976,-7.1%,https://www.youtube.com/watch?v=Dvpd9_5vuks
21,13,Delicate,Taylor Swift,2,26408998,-24.2%,https://www.youtube.com/watch?v=tCXGJQYZ9JA
22,19,Bonita (J Balvin & Jowell & Randy),J Balvin & Jowell & Randy,21,26390226,7.8%,https://www.youtube.com/watch?v=SqpvOqRieYY
23,,Scooby Doo Pa Pa,DJ Kass,2,24484599,,https://www.youtube.com/watch?v=xxWv3R42sz0
24,23,New Rules,Dua Lipa,36,21466315,-2.8%,https://www.youtube.com/watch?v=k2qgadSvNyU
25,,Walk It Talk It (feat. Drake),Migos,1,21062870,,https://www.youtube.com/watch?v=fGqdIPer-ms
26,,Freaky Friday (feat. Chris Brown),Lil Dicky,1,20926185,,https://www.youtube.com/watch?v=aZla1ttZHaw
27,,Introduccion B (El Cosita Mix),El Chombo,1,20310463,,https://www.youtube.com/watch?v=LE6-4nAWEY0
28,21,Dime Si Te Acuerdas,Bad Bunny,3,20016322,-12.5%,https://www.youtube.com/watch?v=qS6F64mj6LY
29,,Te Amo (feat. Paulo Londra),Piso 21,1,20001858,,https://www.youtube.com/watch?v=nP8ZVJxiJlU
30,35,Ric Flair Drip,"Offset, Metro Boomin & 21 Savage",3,19820072,13%,https://www.youtube.com/watch?v=LPTlvQ1Zet0
31,29,Bum Bum Tam Tam,MC Fioti,35,18993124,-3.6%,https://www.youtube.com/watch?v=_P7S2lKif-A
32,22,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,17,18946012,-16.9%,https://www.youtube.com/watch?v=zDo0H8Fm7d0
33,27,Lahore,Guru Randhawa,2,18904272,-6.4%,https://www.youtube.com/watch?v=rbVc7KlrD5E
34,45,Sobredosis (feat. Ozuna),Romeo Santos,5,18730675,19.2%,https://www.youtube.com/watch?v=JNkTNAknE4I
35,39,Solita,"Ozuna, Bad Bunny, Wisin & Almighty",9,18593001,10.9%,https://www.youtube.com/watch?v=j-sz8M8gc6U
36,25,Finesse (feat. Cardi B),Bruno Mars,12,18368012,-12.3%,https://www.youtube.com/watch?v=LsoLEjrDogU
37,31,Bom Diggy (Zack Knight & Jasmin Walia),Zack Knight & Jasmin Walia,2,18165493,-5.5%,https://www.youtube.com/watch?v=yIIGQB6EMAM
38,54,Fiebre (feat. Wisin & Yandel & Yandel),Ricky Martin,4,18129900,32.2%,https://www.youtube.com/watch?v=5sU5y9aMzB0
